"codigop";"meio_transporte";"pais_origem_ida";"uf_origem_ida";"cidade_origem_ida";"pais_destino_ida";"uf_destino_ida";"cidade_destino_ida";"pais_origem_volta";"uf_origem_volta";"cidade_origem_volta";"pais_destino_volta";"uf_destino_volta";"cidade_destino_volta";"valor_passagem";"taxa_servico"
"0000000000015163874";"Aéreo";"Estados Unidos da América";"";"Washington";"Brasil";"Bahia";"Salvador";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"2869,28";"6,64"
"0000000000015166192";"Aéreo";"Itália";"";"Roma";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"2409,14";"11,34"
"0000000000015214826";"Aéreo";"Estados Unidos da América";"";"San Francisco - Califórnia";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"2687,95";"6,63"
"0000000000015233002";"Aéreo";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Brasil";"Paraná";"Curitiba";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"336,53";",00"
"0000000000015233002";"Aéreo";"Brasil";"Paraná";"Curitiba";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"233,17";",00"
"0000000000015233002";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"666,68";",00"
"0000000000015238063";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Distrito Federal";"Brasília";"746,35";",00"
"0000000000015238076";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"774,17";",00"
"0000000000015238076";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"519,24";",00"
"0000000000015303334";"Aéreo";"Brasil";"Paraná";"Maringá";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"490,47";",00"
"0000000000015303334";"Aéreo";"Brasil";"Bahia";"Salvador";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"495,68";",00"
"0000000000015303334";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Paraná";"Maringá";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";",00";",00"
"0000000000015303334";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Bahia";"Salvador";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";",00";",00"
"0000000000015387556";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Pernambuco";"Recife";"672,60";",00"
"0000000000015392543";"Aéreo";"Brasil";"Espírito Santo";"Vitória";"Brasil";"Alagoas";"Maceió";"Brasil";"Alagoas";"Maceió";"Brasil";"Espírito Santo";"Vitória";"2671,64";",01"
"0000000000015393655";"Aéreo";"Brasil";"São Paulo";"São Paulo";"França";"";"Paris";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"3463,12";",00"
"0000000000015405750";"Aéreo";"Suíça";"";"Genebra";"China";"";"Pequim";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"5895,37";",00"
"0000000000015405941";"Aéreo";"Reino Unido";"";"Edimburgo";"Itália";"";"Milão";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";",00";",00"
"0000000000015405941";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Itália";"";"Milão";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"4920,08";"6,63"
"0000000000015405941";"Aéreo";"Itália";"";"Milão";"Reino Unido";"";"Edimburgo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"955,83";"6,63"
"0000000000015405941";"Aéreo";"Itália";"";"Milão";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";",00";",00"
"0000000000015421768";"Aéreo";"Brasil";"Paraná";"Foz do Iguaçu";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"690,17";",00"
"0000000000015421768";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Paraná";"Foz do Iguaçu";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"415,17";",00"
"0000000000015425182";"Aéreo";"Brasil";"Tocantins";"Palmas";"Brasil";"Alagoas";"Maceió";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"738,47";",00"
"0000000000015425182";"Aéreo";"Brasil";"Alagoas";"Maceió";"Brasil";"Tocantins";"Palmas";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1037,17";",00"
"0000000000015425470";"Aéreo";"Brasil";"Alagoas";"Maceió";"Brasil";"Tocantins";"Palmas";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1037,17";",00"
"0000000000015425470";"Aéreo";"Brasil";"Tocantins";"Palmas";"Brasil";"Alagoas";"Maceió";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"738,47";",00"
"0000000000015429439";"Aéreo";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"280,98";",01"
"0000000000015429439";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"528,49";",01"
"0000000000015429714";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"528,49";",01"
"0000000000015429714";"Aéreo";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"172,98";",01"
"0000000000015429932";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"283,25";",00"
"0000000000015429932";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"527,17";",00"
"0000000000015430129";"Aéreo";"Brasil";"Ceará";"Fortaleza";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"534,08";",01"
"0000000000015430129";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Ceará";"Fortaleza";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"647,39";",01"
"0000000000015430810";"Aéreo";"Brasil";"Pará";"Belém";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"394,27";",00"
"0000000000015430810";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Pará";"Belém";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"488,39";",00"
"0000000000015434007";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"843,17";",01"
"0000000000015434007";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"448,39";",01"
"0000000000015435008";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Ceará";"Fortaleza";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"647,39";",01"
"0000000000015435008";"Aéreo";"Brasil";"Ceará";"Fortaleza";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"534,08";",01"
"0000000000015437882";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"448,39";",01"
"0000000000015437882";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"843,17";",01"
"0000000000015442463";"Aéreo";"Brasil";"Bahia";"Salvador";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"494,97";",00"
"0000000000015442463";"Aéreo";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Brasil";"Bahia";"Salvador";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"702,98";",00"
"0000000000015445393";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"306,42";",00"
"0000000000015445393";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"387,26";",00"
"0000000000015447274";"Aéreo";"Brasil";"Rondônia";"Porto Velho";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"388,47";",01"
"0000000000015447274";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Rondônia";"Porto Velho";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"673,39";",01"